Barcode,Antibiotic,Site,Recommended,Percent Resistance
530,Cephalexin,Any,YES,12
760,Cephalexin,Any,YES,3
361,Cephalexin,Any,YES,18
771,Cephalexin,Any,YES,9
560,Cephalexin,Any,YES,11
360,Cephalexin,Any,YES,4
761,Cephalexin,Any,YES,15
751,Cephalexin,Any,YES,8
721,Cephalexin,Any,YES,6
371,Cephalexin,Any,NO,29
531,Cephalexin,Any,YES,6
131,Cephalexin,Any,NO,26
661,Cephalexin,Any,YES,8
511,Cephalexin,Any,YES,2
261,Cephalexin,Any,YES,9
551,Cephalexin,Any,YES,8
520,Cephalexin,Any,YES,18
700,Cephalexin,Any,YES,14
231,Cephalexin,Any,NO,28
260,Cephalexin,Any,YES,11
510,Cephalexin,Any,YES,7
171,Cephalexin,Any,YES,9
500,Cephalexin,Any,NO,31
200,Cephalexin,Any,NO,23
220,Cephalexin,Any,YES,2
731,Cephalexin,Any,YES,2
351,Cephalexin,Any,NO,26
570,Cephalexin,Any,YES,16
300,Cephalexin,Any,YES,9
671,Cephalexin,Any,YES,5
630,Cephalexin,Any,YES,18
251,Cephalexin,Any,NO,23
711,Cephalexin,Any,YES,2
321,Cephalexin,Any,YES,5
160,Cephalexin,Any,YES,1
651,Cephalexin,Any,YES,0
370,Cephalexin,Any,NO,37
550,Cephalexin,Any,YES,7
350,Cephalexin,Any,YES,1
660,Cephalexin,Any,YES,9
741,Cephalexin,Any,YES,2
750,Cephalexin,Any,NO,22
710,Cephalexin,Any,YES,1
521,Cephalexin,Any,YES,0
130,Cephalexin,Any,YES,2
320,Cephalexin,Any,YES,0
720,Cephalexin,Any,YES,18
611,Cephalexin,Any,YES,0
540,Cephalexin,Any,YES,2
730,Cephalexin,Any,YES,0
631,Cephalexin,Any,YES,1
230,Cephalexin,Any,YES,0
621,Cephalexin,Any,YES,2
341,Cephalexin,Any,YES,0
330,Cephalexin,Any,YES,1
240,Cephalexin,Any,YES,0
221,Cephalexin,Any,YES,2
121,Cephalexin,Any,YES,0
641,Cephalexin,Any,YES,1
20,Cephalexin,Any,YES,0
400,Cephalexin,Any,NO,100
331,Cephalexin,Any,YES,0
650,Cephalexin,Any,NO,100
770,Cephalexin,Any,YES,0
610,Cephalexin,Any,YES,2
161,Cephalexin,Any,YES,0
600,Cephalexin,Any,YES,1
E. coli,Ceftazidime,Any,YES,7
561,Ceftazidime,Any,NO,31
620,Ceftazidime,Any,YES,0
571,Ceftazidime,Any,YES,7
271,Ceftazidime,Any,YES,4
530,Ceftazidime,Any,YES,6
760,Ceftazidime,Any,YES,0
361,Ceftazidime,Any,YES,14
771,Ceftazidime,Any,YES,5
560,Ceftazidime,Any,YES,6
360,Ceftazidime,Any,YES,1
761,Ceftazidime,Any,YES,12
751,Ceftazidime,Any,YES,6
721,Ceftazidime,Any,YES,4
371,Ceftazidime,Any,YES,19
531,Ceftazidime,Any,YES,3
131,Ceftazidime,Any,YES,9
661,Ceftazidime,Any,YES,4
511,Ceftazidime,Any,YES,1
261,Ceftazidime,Any,YES,4
551,Ceftazidime,Any,YES,4
520,Ceftazidime,Any,YES,10
700,Ceftazidime,Any,YES,10
231,Ceftazidime,Any,NO,24
260,Ceftazidime,Any,YES,11
510,Ceftazidime,Any,YES,2
171,Ceftazidime,Any,YES,1
500,Ceftazidime,Any,YES,11
200,Ceftazidime,Any,NO,20
220,Ceftazidime,Any,YES,2
731,Ceftazidime,Any,YES,2
351,Ceftazidime,Any,NO,26
570,Ceftazidime,Any,YES,10
300,Ceftazidime,Any,YES,9
671,Ceftazidime,Any,YES,5
630,Ceftazidime,Any,YES,7
251,Ceftazidime,Any,NO,23
711,Ceftazidime,Any,YES,2
321,Ceftazidime,Any,YES,0
160,Ceftazidime,Any,YES,1
651,Ceftazidime,Any,YES,0
370,Ceftazidime,Any,NO,37
550,Ceftazidime,Any,YES,0
350,Ceftazidime,Any,YES,1
660,Ceftazidime,Any,YES,0
741,Ceftazidime,Any,YES,2
750,Ceftazidime,Any,NO,22
710,Ceftazidime,Any,YES,1
521,Ceftazidime,Any,YES,0
130,Ceftazidime,Any,YES,2
320,Ceftazidime,Any,YES,0
720,Ceftazidime,Any,YES,18
611,Ceftazidime,Any,YES,0
540,Ceftazidime,Any,YES,2
730,Ceftazidime,Any,YES,0
631,Ceftazidime,Any,YES,1
230,Ceftazidime,Any,YES,0
621,Ceftazidime,Any,YES,2
341,Ceftazidime,Any,YES,0
330,Ceftazidime,Any,YES,1
240,Ceftazidime,Any,YES,0
221,Ceftazidime,Any,YES,2
121,Ceftazidime,Any,YES,0
641,Ceftazidime,Any,YES,1
20,Ceftazidime,Any,YES,0
400,Ceftazidime,Any,YES,2
331,Ceftazidime,Any,YES,0
650,Ceftazidime,Any,NO,100
770,Ceftazidime,Any,YES,0
610,Ceftazidime,Any,YES,2
161,Ceftazidime,Any,YES,0
600,Ceftazidime,Any,YES,1
E. coli,ESBL,Any,YES,4
561,ESBL,Any,NO,28
620,ESBL,Any,YES,0
571,ESBL,Any,YES,4
271,ESBL,Any,YES,3
530,ESBL,Any,YES,4
760,ESBL,Any,YES,0
361,ESBL,Any,YES,5
771,ESBL,Any,YES,3
560,ESBL,Any,YES,3
360,ESBL,Any,YES,0
761,ESBL,Any,YES,3
751,ESBL,Any,YES,5
721,ESBL,Any,YES,2
371,ESBL,Any,YES,15
531,ESBL,Any,YES,3
131,ESBL,Any,YES,0
661,ESBL,Any,YES,2
511,ESBL,Any,YES,0
261,ESBL,Any,YES,1
551,ESBL,Any,YES,4
520,ESBL,Any,YES,4
700,ESBL,Any,YES,10
231,ESBL,Any,YES,9
260,ESBL,Any,YES,0
510,ESBL,Any,YES,2
171,ESBL,Any,YES,0
500,ESBL,Any,YES,11
200,ESBL,Any,NO,23
220,ESBL,Any,YES,2
731,ESBL,Any,YES,0
351,ESBL,Any,NO,20
570,ESBL,Any,YES,0
300,ESBL,Any,YES,10
671,ESBL,Any,YES,5
630,ESBL,Any,YES,1
251,ESBL,Any,YES,12
711,ESBL,Any,YES,2
321,ESBL,Any,YES,0
160,ESBL,Any,YES,1
651,ESBL,Any,YES,4
370,ESBL,Any,NO,25
550,ESBL,Any,YES,0
350,ESBL,Any,YES,1
660,ESBL,Any,YES,0
741,ESBL,Any,YES,2
750,ESBL,Any,YES,0
710,ESBL,Any,YES,1
521,ESBL,Any,YES,0
130,ESBL,Any,YES,2
320,ESBL,Any,YES,0
720,ESBL,Any,YES,1
611,ESBL,Any,YES,0
540,ESBL,Any,YES,2
730,ESBL,Any,YES,0
631,ESBL,Any,YES,1
230,ESBL,Any,YES,0
621,ESBL,Any,YES,2
341,ESBL,Any,YES,0
330,ESBL,Any,YES,1
240,ESBL,Any,YES,0
221,ESBL,Any,YES,2
121,ESBL,Any,YES,0
641,ESBL,Any,YES,1
20,ESBL,Any,YES,0
400,ESBL,Any,YES,2
331,ESBL,Any,YES,0
650,ESBL,Any,NO,100
770,ESBL,Any,YES,4
610,ESBL,Any,YES,2
161,ESBL,Any,YES,0
600,ESBL,Any,YES,1
E. coli,Trimethoprim/Sulfamethoxazole,Any,NO,29
561,Trimethoprim/Sulfamethoxazole,Any,NO,47
620,Trimethoprim/Sulfamethoxazole,Any,YES,12
571,Trimethoprim/Sulfamethoxazole,Any,NO,53
271,Trimethoprim/Sulfamethoxazole,Any,NO,62
530,Trimethoprim/Sulfamethoxazole,Any,YES,19
760,Trimethoprim/Sulfamethoxazole,Any,YES,12
361,Trimethoprim/Sulfamethoxazole,Any,YES,19
771,Trimethoprim/Sulfamethoxazole,Any,NO,35
560,Trimethoprim/Sulfamethoxazole,Any,NO,45
360,Trimethoprim/Sulfamethoxazole,Any,YES,14
761,Trimethoprim/Sulfamethoxazole,Any,NO,34
751,Trimethoprim/Sulfamethoxazole,Any,NO,29
721,Trimethoprim/Sulfamethoxazole,Any,YES,13
371,Trimethoprim/Sulfamethoxazole,Any,NO,36
531,Trimethoprim/Sulfamethoxazole,Any,YES,12
131,Trimethoprim/Sulfamethoxazole,Any,YES,11
661,Trimethoprim/Sulfamethoxazole,Any,YES,11
511,Trimethoprim/Sulfamethoxazole,Any,YES,6
261,Trimethoprim/Sulfamethoxazole,Any,NO,27
551,Trimethoprim/Sulfamethoxazole,Any,NO,21
520,Trimethoprim/Sulfamethoxazole,Any,NO,41
700,Trimethoprim/Sulfamethoxazole,Any,NO,49
231,Trimethoprim/Sulfamethoxazole,Any,NO,74
260,Trimethoprim/Sulfamethoxazole,Any,YES,19
510,Trimethoprim/Sulfamethoxazole,Any,NO,29
171,Trimethoprim/Sulfamethoxazole,Any,NO,41
500,Trimethoprim/Sulfamethoxazole,Any,NO,91
200,Trimethoprim/Sulfamethoxazole,Any,NO,31
220,Trimethoprim/Sulfamethoxazole,Any,NO,44
731,Trimethoprim/Sulfamethoxazole,Any,YES,0
351,Trimethoprim/Sulfamethoxazole,Any,NO,39
570,Trimethoprim/Sulfamethoxazole,Any,YES,10
300,Trimethoprim/Sulfamethoxazole,Any,NO,48
671,Trimethoprim/Sulfamethoxazole,Any,NO,72
630,Trimethoprim/Sulfamethoxazole,Any,YES,12
251,Trimethoprim/Sulfamethoxazole,Any,NO,73
711,Trimethoprim/Sulfamethoxazole,Any,YES,2
321,Trimethoprim/Sulfamethoxazole,Any,YES,12
160,Trimethoprim/Sulfamethoxazole,Any,YES,18
651,Trimethoprim/Sulfamethoxazole,Any,NO,26
370,Trimethoprim/Sulfamethoxazole,Any,NO,30
550,Trimethoprim/Sulfamethoxazole,Any,YES,0
350,Trimethoprim/Sulfamethoxazole,Any,NO,78
660,Trimethoprim/Sulfamethoxazole,Any,YES,9
741,Trimethoprim/Sulfamethoxazole,Any,YES,2
750,Trimethoprim/Sulfamethoxazole,Any,YES,10
710,Trimethoprim/Sulfamethoxazole,Any,YES,1
521,Trimethoprim/Sulfamethoxazole,Any,NO,65
130,Trimethoprim/Sulfamethoxazole,Any,YES,2
320,Trimethoprim/Sulfamethoxazole,Any,YES,0
720,Trimethoprim/Sulfamethoxazole,Any,NO,34
611,Trimethoprim/Sulfamethoxazole,Any,YES,0
540,Trimethoprim/Sulfamethoxazole,Any,NO,100
730,Trimethoprim/Sulfamethoxazole,Any,YES,11
631,Trimethoprim/Sulfamethoxazole,Any,YES,1
230,Trimethoprim/Sulfamethoxazole,Any,NO,98
621,Trimethoprim/Sulfamethoxazole,Any,NO,35
341,Trimethoprim/Sulfamethoxazole,Any,YES,0
330,Trimethoprim/Sulfamethoxazole,Any,NO,51
240,Trimethoprim/Sulfamethoxazole,Any,YES,0
221,Trimethoprim/Sulfamethoxazole,Any,YES,2
121,Trimethoprim/Sulfamethoxazole,Any,YES,0
641,Trimethoprim/Sulfamethoxazole,Any,YES,1
20,Trimethoprim/Sulfamethoxazole,Any,YES,0
400,Trimethoprim/Sulfamethoxazole,Any,NO,100
331,Trimethoprim/Sulfamethoxazole,Any,YES,0
650,Trimethoprim/Sulfamethoxazole,Any,NO,100
770,Trimethoprim/Sulfamethoxazole,Any,NO,98
610,Trimethoprim/Sulfamethoxazole,Any,NO,100
161,Trimethoprim/Sulfamethoxazole,Any,YES,0
600,Trimethoprim/Sulfamethoxazole,Any,YES,1
E. coli,Ciprofloxacin,Any,NO,21
561,Ciprofloxacin,Any,NO,88
620,Ciprofloxacin,Any,YES,1
571,Ciprofloxacin,Any,NO,61
271,Ciprofloxacin,Any,YES,8
530,Ciprofloxacin,Any,YES,6
760,Ciprofloxacin,Any,YES,4
361,Ciprofloxacin,Any,YES,13
771,Ciprofloxacin,Any,YES,13
560,Ciprofloxacin,Any,YES,19
360,Ciprofloxacin,Any,YES,4
761,Ciprofloxacin,Any,YES,17
751,Ciprofloxacin,Any,NO,25
721,Ciprofloxacin,Any,YES,13
371,Ciprofloxacin,Any,NO,38
531,Ciprofloxacin,Any,YES,7
131,Ciprofloxacin,Any,YES,11
661,Ciprofloxacin,Any,YES,6
511,Ciprofloxacin,Any,YES,1
261,Ciprofloxacin,Any,YES,11
551,Ciprofloxacin,Any,YES,4
520,Ciprofloxacin,Any,YES,8
700,Ciprofloxacin,Any,NO,32
231,Ciprofloxacin,Any,NO,36
260,Ciprofloxacin,Any,YES,11
510,Ciprofloxacin,Any,YES,2
171,Ciprofloxacin,Any,YES,17
500,Ciprofloxacin,Any,YES,1
200,Ciprofloxacin,Any,YES,9
220,Ciprofloxacin,Any,YES,2
731,Ciprofloxacin,Any,YES,4
351,Ciprofloxacin,Any,YES,14
570,Ciprofloxacin,Any,YES,16
300,Ciprofloxacin,Any,NO,40
671,Ciprofloxacin,Any,YES,5
630,Ciprofloxacin,Any,YES,12
251,Ciprofloxacin,Any,YES,0
711,Ciprofloxacin,Any,YES,10
321,Ciprofloxacin,Any,YES,0
160,Ciprofloxacin,Any,YES,1
651,Ciprofloxacin,Any,YES,0
370,Ciprofloxacin,Any,NO,52
550,Ciprofloxacin,Any,YES,0
350,Ciprofloxacin,Any,YES,1
660,Ciprofloxacin,Any,YES,9
741,Ciprofloxacin,Any,YES,2
750,Ciprofloxacin,Any,NO,47
710,Ciprofloxacin,Any,YES,1
521,Ciprofloxacin,Any,NO,31
130,Ciprofloxacin,Any,YES,2
320,Ciprofloxacin,Any,YES,0
720,Ciprofloxacin,Any,YES,1
611,Ciprofloxacin,Any,YES,0
540,Ciprofloxacin,Any,YES,2
730,Ciprofloxacin,Any,YES,0
631,Ciprofloxacin,Any,YES,1
230,Ciprofloxacin,Any,YES,0
621,Ciprofloxacin,Any,YES,2
341,Ciprofloxacin,Any,YES,0
330,Ciprofloxacin,Any,NO,26
240,Ciprofloxacin,Any,YES,0
221,Ciprofloxacin,Any,YES,2
121,Ciprofloxacin,Any,YES,0
641,Ciprofloxacin,Any,YES,1
20,Ciprofloxacin,Any,YES,0
400,Ciprofloxacin,Any,YES,2
331,Ciprofloxacin,Any,YES,0
650,Ciprofloxacin,Any,YES,1
770,Ciprofloxacin,Any,NO,98
610,Ciprofloxacin,Any,YES,2
161,Ciprofloxacin,Any,YES,0
600,Ciprofloxacin,Any,YES,1
E. coli,Nitrofurantoin,Any,YES,8
561,Nitrofurantoin,Any,YES,11
620,Nitrofurantoin,Any,YES,6
571,Nitrofurantoin,Any,YES,12
271,Nitrofurantoin,Any,YES,5
530,Nitrofurantoin,Any,YES,10
760,Nitrofurantoin,Any,YES,5
361,Nitrofurantoin,Any,YES,17
771,Nitrofurantoin,Any,YES,6
560,Nitrofurantoin,Any,YES,4
360,Nitrofurantoin,Any,YES,9
761,Nitrofurantoin,Any,YES,12
751,Nitrofurantoin,Any,YES,9
721,Nitrofurantoin,Any,YES,10
371,Nitrofurantoin,Any,YES,14
531,Nitrofurantoin,Any,YES,6
131,Nitrofurantoin,Any,YES,7
661,Nitrofurantoin,Any,YES,13
511,Nitrofurantoin,Any,YES,0
261,Nitrofurantoin,Any,YES,14
551,Nitrofurantoin,Any,YES,1
520,Nitrofurantoin,Any,YES,2
700,Nitrofurantoin,Any,NO,32
231,Nitrofurantoin,Any,YES,13
260,Nitrofurantoin,Any,YES,19
510,Nitrofurantoin,Any,YES,15
171,Nitrofurantoin,Any,YES,0
500,Nitrofurantoin,Any,YES,1
200,Nitrofurantoin,Any,NO,31
220,Nitrofurantoin,Any,YES,2
731,Nitrofurantoin,Any,YES,4
351,Nitrofurantoin,Any,YES,1
570,Nitrofurantoin,Any,NO,27
300,Nitrofurantoin,Any,NO,25
671,Nitrofurantoin,Any,YES,14
630,Nitrofurantoin,Any,YES,12
251,Nitrofurantoin,Any,YES,11
711,Nitrofurantoin,Any,YES,2
321,Nitrofurantoin,Any,YES,0
160,Nitrofurantoin,Any,YES,9
651,Nitrofurantoin,Any,YES,9
370,Nitrofurantoin,Any,YES,2
550,Nitrofurantoin,Any,YES,7
350,Nitrofurantoin,Any,YES,9
660,Nitrofurantoin,Any,YES,9
741,Nitrofurantoin,Any,YES,2
750,Nitrofurantoin,Any,YES,10
710,Nitrofurantoin,Any,YES,1
521,Nitrofurantoin,Any,YES,0
130,Nitrofurantoin,Any,YES,2
320,Nitrofurantoin,Any,YES,0
720,Nitrofurantoin,Any,YES,18
611,Nitrofurantoin,Any,YES,0
540,Nitrofurantoin,Any,YES,2
730,Nitrofurantoin,Any,YES,0
631,Nitrofurantoin,Any,YES,1
230,Nitrofurantoin,Any,YES,0
621,Nitrofurantoin,Any,NO,35
341,Nitrofurantoin,Any,YES,0
330,Nitrofurantoin,Any,YES,1
240,Nitrofurantoin,Any,YES,0
221,Nitrofurantoin,Any,YES,2
121,Nitrofurantoin,Any,YES,0
641,Nitrofurantoin,Any,YES,1
20,Nitrofurantoin,Any,YES,0
400,Nitrofurantoin,Any,NO,100
331,Nitrofurantoin,Any,YES,0
650,Nitrofurantoin,Any,YES,1
770,Nitrofurantoin,Any,YES,0
610,Nitrofurantoin,Any,YES,2
161,Nitrofurantoin,Any,YES,0
600,Nitrofurantoin,Any,YES,1
E. coli,Ampicillin,Kaiser,NO,47
561,Ampicillin,Kaiser,NO,69
620,Ampicillin,Kaiser,NO,48
571,Ampicillin,Kaiser,NO,64
271,Ampicillin,Kaiser,NO,70
530,Ampicillin,Kaiser,NO,27
760,Ampicillin,Kaiser,NO,30
361,Ampicillin,Kaiser,NO,34
771,Ampicillin,Kaiser,NO,53
560,Ampicillin,Kaiser,NO,98
360,Ampicillin,Kaiser,NO,36
761,Ampicillin,Kaiser,NO,76
751,Ampicillin,Kaiser,YES,17
721,Ampicillin,Kaiser,NO,24
371,Ampicillin,Kaiser,NO,65
531,Ampicillin,Kaiser,NO,30
131,Ampicillin,Kaiser,NO,54
661,Ampicillin,Kaiser,NO,42
511,Ampicillin,Kaiser,NO,45
261,Ampicillin,Kaiser,NO,44
551,Ampicillin,Kaiser,NO,31
520,Ampicillin,Kaiser,NO,56
700,Ampicillin,Kaiser,NO,68
231,Ampicillin,Kaiser,NO,51
260,Ampicillin,Kaiser,YES,15
510,Ampicillin,Kaiser,NO,44
171,Ampicillin,Kaiser,NO,52
500,Ampicillin,Kaiser,NO,50
200,Ampicillin,Kaiser,NO,23
220,Ampicillin,Kaiser,NO,50
731,Ampicillin,Kaiser,NO,29
351,Ampicillin,Kaiser,NO,55
570,Ampicillin,Kaiser,NO,23
300,Ampicillin,Kaiser,NO,68
671,Ampicillin,Kaiser,NO,47
630,Ampicillin,Kaiser,NO,34
251,Ampicillin,Kaiser,NO,98
711,Ampicillin,Kaiser,NO,35
321,Ampicillin,Kaiser,NO,22
160,Ampicillin,Kaiser,YES,1
651,Ampicillin,Kaiser,NO,29
370,Ampicillin,Kaiser,NO,52
550,Ampicillin,Kaiser,NO,37
350,Ampicillin,Kaiser,NO,90
660,Ampicillin,Kaiser,NO,23
741,Ampicillin,Kaiser,NO,50
750,Ampicillin,Kaiser,NO,68
710,Ampicillin,Kaiser,NO,30
521,Ampicillin,Kaiser,NO,98
130,Ampicillin,Kaiser,NO,50
320,Ampicillin,Kaiser,NO,64
720,Ampicillin,Kaiser,NO,61
611,Ampicillin,Kaiser,YES,0
540,Ampicillin,Kaiser,NO,50
730,Ampicillin,Kaiser,NO,26
631,Ampicillin,Kaiser,NO,50
230,Ampicillin,Kaiser,NO,47
621,Ampicillin,Kaiser,NO,100
341,Ampicillin,Kaiser,YES,17
330,Ampicillin,Kaiser,NO,76
240,Ampicillin,Kaiser,NO,47
221,Ampicillin,Kaiser,NO,50
121,Ampicillin,Kaiser,YES,0
641,Ampicillin,Kaiser,NO,100
20,Ampicillin,Kaiser,YES,0
400,Ampicillin,Kaiser,NO,100
331,Ampicillin,Kaiser,YES,0
650,Ampicillin,Kaiser,NO,100
770,Ampicillin,Kaiser,NO,98
610,Ampicillin,Kaiser,NO,100
161,Ampicillin,Kaiser,YES,0
600,Ampicillin,Kaiser,NO,100
E. coli,Amoxicillin/Clavulanate,Kaiser,YES,17
561,Amoxicillin/Clavulanate,Kaiser,NO,27
620,Amoxicillin/Clavulanate,Kaiser,NO,26
571,Amoxicillin/Clavulanate,Kaiser,YES,20
271,Amoxicillin/Clavulanate,Kaiser,YES,12
530,Amoxicillin/Clavulanate,Kaiser,YES,10
760,Amoxicillin/Clavulanate,Kaiser,YES,8
361,Amoxicillin/Clavulanate,Kaiser,YES,14
771,Amoxicillin/Clavulanate,Kaiser,YES,16
560,Amoxicillin/Clavulanate,Kaiser,NO,30
360,Amoxicillin/Clavulanate,Kaiser,YES,10
761,Amoxicillin/Clavulanate,Kaiser,YES,1
751,Amoxicillin/Clavulanate,Kaiser,YES,3
721,Amoxicillin/Clavulanate,Kaiser,YES,2
371,Amoxicillin/Clavulanate,Kaiser,YES,18
531,Amoxicillin/Clavulanate,Kaiser,NO,22
131,Amoxicillin/Clavulanate,Kaiser,NO,42
661,Amoxicillin/Clavulanate,Kaiser,YES,12
511,Amoxicillin/Clavulanate,Kaiser,YES,14
261,Amoxicillin/Clavulanate,Kaiser,NO,30
551,Amoxicillin/Clavulanate,Kaiser,YES,0
520,Amoxicillin/Clavulanate,Kaiser,YES,18
700,Amoxicillin/Clavulanate,Kaiser,NO,40
231,Amoxicillin/Clavulanate,Kaiser,YES,1
260,Amoxicillin/Clavulanate,Kaiser,YES,15
510,Amoxicillin/Clavulanate,Kaiser,YES,2
171,Amoxicillin/Clavulanate,Kaiser,YES,15
500,Amoxicillin/Clavulanate,Kaiser,YES,20
200,Amoxicillin/Clavulanate,Kaiser,YES,0
220,Amoxicillin/Clavulanate,Kaiser,NO,20
731,Amoxicillin/Clavulanate,Kaiser,YES,2
